site_id,building_id,primary_use,square_feet,year_built,floor_count
0,0,Education,7432,2008,
0,1,Education,2720,2004,
0,2,Education,5376,1991,
0,3,Education,23685,2002,
0,4,Education,116607,1975,
0,5,Education,8000,2000,
0,6,Lodging/residential,27926,1981,
0,7,Education,121074,1989,
0,8,Education,60809,2003,
0,9,Office,27000,2010,
0,10,Entertainment/public assembly,370773,1991,
0,11,Education,49073,1968,
0,12,Lodging/residential,37100,1999,
0,13,Education,99380,2000,
0,14,Education,86250,2013,
0,15,Office,83957,1974,
0,16,Education,54644,1996,
0,17,Office,15250,1980,
0,18,Education,111891,1996,
0,19,Office,18717,2004,
0,20,Education,110272,1977,
0,21,Office,7043,1990,
0,22,Education,3569,1996,
0,23,Education,130885,1985,
0,24,Education,105545,2001,
0,25,Office,103286,1969,
0,26,Office,26953,2005,
0,27,Lodging/residential,59200,1999,
0,28,Office,52957,2016,
0,29,Education,113866,2006,
0,30,Education,93897,1999,
0,31,Education,61904,2001,
0,32,Office,48392,2005,
0,33,Lodging/residential,38686,2002,
0,34,Lodging/residential,42731,2002,
0,35,Lodging/residential,41617,2002,
0,36,Lodging/residential,53130,2002,
0,37,Lodging/residential,53130,2002,
0,38,Office,12769,2013,
0,39,Office,64619,1969,
0,40,Entertainment/public assembly,26944,2001,
0,41,Office,93860,1968,
0,42,Other,226506,1968,
0,43,Retail,59071,1980,
0,44,Retail, 283,1985,
0,45,Retail,15304,2016,
0,46,Retail,9045,2016,
0,47,Retail,31666,2008,
0,48,Other,9569,1989,
0,49,Lodging/residential,24456,1968,
0,50,Other,4698,1981,
0,51,Parking,387638,2014,
0,52,Education,106523,1970,
0,53,Office,87742,1971,
0,54,Education,7867,2011,
0,55,Office,16726,2011,
0,56,Lodging/residential,60088,2013,
0,57,Lodging/residential,65359,2013,
0,58,Lodging/residential,83379,2013,
0,59,Entertainment/public assembly,81337,2005,
0,60,Education,81576,1997,
0,61,Lodging/residential,38686,2001,
0,62,Lodging/residential,42731,2001,
0,63,Lodging/residential,41617,2001,
0,64,Lodging/residential,53130,2001,
0,65,Lodging/residential,53130,2001,
0,66,Lodging/residential,37241,1981,
0,67,Lodging/residential,24456,1968,
0,68,Parking,487433,2007,
0,69,Parking,387638,2000,
0,70,Parking,387638,2007,
0,71,Parking,387638,1998,
0,72,Parking,387638,2002,
0,73,Parking,387638,2008,
0,74,Parking,387638,1997,
0,75,Education,80942,2010,
0,76,Education,128887,2009,
0,77,Lodging/residential,24456,1968,
0,78,Education,76257,2007,
0,79,Office,36240,2010,
0,80,Office,156111,2001,
0,81,Other,3025,1979,
0,82,Office,10743,1974,
0,83,Other,2070,1996,
0,84,Office,4038,1986,
0,85,Lodging/residential,37241,1981,
0,86,Education,10932,1986,
0,87,Entertainment/public assembly,6412,2006,
0,88,Entertainment/public assembly,76527,2007,
0,89,Retail,161755,1996,
0,90,Lodging/residential,59200,1999,
0,91,Education,68094,2003,
0,92,Office,10779,1970,
0,93,Office,33370,1982,
0,94,Education,29469,1968,
0,95,Lodging/residential,200933,2006,
0,96,Lodging/residential,200933,2006,
0,97,Lodging/residential,187647,2007,
0,98,Lodging/residential,200933,2007,
0,99,Office,2260,2016,
0,100,Lodging/residential,24456,1968,
0,101,Office,18860,1986,
0,102,Office,15876,1983,
0,103,Education,21657,2016,
0,104,Office,45330,2003,
1,105,Education,50623,,   5
1,106,Education,5374,,   4
1,107,Education,97532,2005,  10
1,108,Education,81580,1913,   5
1,109,Education,56995,1953,   6
1,110,Education,27814,2006,   8
1,111,Education,118338,1909,   7
1,112,Education,32206,,   6
1,113,Education,100481,1958,   9
1,114,Education,139683,1958,  13
1,115,Education,129716,1968,   6
1,116,Education,37265,,   5
1,117,Education,15489,2004,   4
1,118,Education,138316,1960,   8
1,119,Education,91149,2007,   7
1,120,Education,68211,1976,   7
1,121,Education,150318,1906,   9
1,122,Education,83043,1991,   6
1,123,Education,61204,1989,   6
1,124,Education,38319,1900,   6
1,125,Education,16802,1995,   6
1,126,Education,21539,2004,   5
1,127,Lodging/residential,27071,,   6
1,128,Lodging/residential,102774,1956,   7
1,129,Lodging/residential,102957,1968,   7
1,130,Lodging/residential,62893,1960,  16
1,131,Lodging/residential,66661,1930,   7
1,132,Lodging/residential,83108,1995,   8
1,133,Lodging/residential,64723,1960,   8
1,134,Lodging/residential,49589,1998,   8
1,135,Lodging/residential,66532,1967,  10
1,136,Lodging/residential,56467,1960,   9
1,137,Entertainment/public assembly,64024,1967,   6
1,138,Public services,118231,,   6
1,139,Public services,56629,1900,   6
1,140,Office,50020,,  11
1,141,Office,44789,1919,   5
1,142,Office,45348,,   4
1,143,Office,40085,,   4
1,144,Office,57673,,   5
1,145,Office,14219,,   4
1,146,Office,31614,1956,   8
1,147,Office,82548,1977,   7
1,148,Office,174601,1960,  12
1,149,Office,81881,1960,   8
1,150,Office,65657,1955,   8
1,151,Office,30495,1997,   8
1,152,Office,10301,1970,   2
1,153,Office,16092,1965,   3
1,154,Office,34455,1907,   8
1,155,Office,51688,1930,   8
2,156,Public services,43681,2007,
2,157,Office,5258,,
2,158,Office,10135,,
2,159,Education,9788,,
2,160,Entertainment/public assembly,15786,,
2,161,Education,11329,,
2,162,Education,98829,1968,
2,163,Education,72102,1970,
2,164,Warehouse/storage,12908,1979,
2,165,Warehouse/storage,3877,1975,
2,166,Lodging/residential,553210,2009,
2,167,Lodging/residential,86323,1956,
2,168,Education,183460,2005,
2,169,Education,179559,2006,
2,170,Retail,45224,1982,
2,171,Office,131797,1968,
2,172,Office,121440,1983,
2,173,Education,90903,,
2,174,Education,90900,,
2,175,Education,111635,1989,
2,176,Education,62238,1970,
2,177,Entertainment/public assembly,167066,1989,
2,178,Office,23392,,
2,179,Food sales and service,24867,2012,
2,180,Education,24586,,
2,181,Education,148829,2014,
2,182,Entertainment/public assembly,1022,,
2,183,Education,132518,1992,
2,184,Education,34171,,
2,185,Education,84300,,
2,186,Religious worship,1629,1948,
2,187,Education,44203,1950,
2,188,Office,23549,1941,
2,189,Education,7481,1969,
2,190,Education,137040,1957,
2,191,Education,78268,1964,
2,192,Education,151637,1983,
2,193,Office,6203,1999,
2,194,Office,155682,,
2,195,Office,9703,1940,
2,196,Entertainment/public assembly,40531,,
2,197,Public services,102856,,
2,198,Office,163959,2004,
2,199,Parking,405083,2004,
2,200,Entertainment/public assembly,143093,1964,
2,201,Education,219608,1992,
2,202,Lodging/residential,74682,2006,
2,203,Lodging/residential,63348,2007,
2,204,Lodging/residential,30949,1951,
2,205,Lodging/residential,60086,2001,
2,206,Public services,345837,1966,
2,207,Public services,99700,,
